Case ID,Species,NCBI Taxonomy,GenoType,Modality,Technique,Anatomical Region,Organization,Investigator,Grant Number,Project,Imaging Database,Imaging Datalink,Age,Sex,Viewer Link,AP,ML,DV,Injection Type
180820_JH_KM0008_AdcyapLSLflpABCmale,mouse,NCBI:txid10090,AdycapCreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/76/c1/76c16bf3cbcaed19/180820_JH_KM0008_AdcyapLSLflpABCmale_processed/,,M,https://brainviewer.org:3010/HUA_U19_180820,-1.9,4,1.6, AAV2/8-Cag-fDIO TVAeGFP
180822_JH_HK33_Tle4LSLflp_female,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,10,F,https://brainviewer.org:3010/HUA_U19_180822,,,,
180828_JH_HK34_Fezf2LSLflp_female,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/f7/3a/f73a546aa45b0c4b/180828_JH_HK34_Fezf2LSLflp_female_processed,11,F,https://brainviewer.org:3010/HUA_U19_180828,-0.75,1.5,1.25, AAV2/8-Cag-fDIO TVAeGFP
180829_JH_HK26_PlexinD1LSLflp_female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,12,F,https://brainviewer.org:3010/HUA_U19_180829,,,,
180830_JH_WG_Fezf2LSLflp_CFA_female,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/22/06/2206db1eee169a9b/180830_JH_WG_Fezf2LSLflp_CFA_female_processed/,18,F,https://brainviewer.org:3010/HUA_U19_180830,0.6,1.4,1.25, AAV2/8-Cag-fDIO TVAeGFP
180831_JH_HK35_Fezf2LSLflp_ACAv_female,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,ACAd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/5c/e8/5ce841021ae87be8/180831_JH_HK35_Fezf2LSLflp_ACAv_female_processed/,11,F,https://brainviewer.org:3010/HUA_U19_180831,0,0.4,1.5, AAV2/8-Cag-fDIO TVAeGFP
180905_JH_HK37_PlexinD1LSLflp_CFA_female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,7,F,https://brainviewer.org:3010/HUA_U19_180905,0.5,1.5,1.3, AAV2/8-Cag-fDIO TVAeGFP
180911_JH_WG_Tle4LSLflp_SspBfd_female,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,7,M,https://brainviewer.org:3010/HUA_U19_180911,-1.5,4,0.9, AAV2/8-CAG-fd-ChR2-EYFP
180912_JH_HK38_Fezf2LSLflp_V1_female,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,VISp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/f3/9a/f39ac38e0ab0b318/180912_JH_HK38_Fezf2LSLflp_V1_female_processed/,12,F,https://brainviewer.org:3010/HUA_U19_180912,-3.3,2.8,1, AAV2/8-Cag-fDIO TVAeGFP
180913_JH_HK40_Fezf2LSLflp_V2M_male,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,RSPagl,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,13,M,https://brainviewer.org:3010/HUA_U19_180913,-3.6,1,0.6, AAV2/8-Cag-fDIO TVAeGFP
180914_JH_HK42_Tle4LSLflp_RFA_male,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,MOs,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_180914,1.8,1.25,1.35, AAV2/8-Cag-fDIO TVAeGFP
