Sample ID,Donor ID,Species,Species NCBI Taxonomy ID,Genotype,Modality,Technique,Anatomical Structure,Subspecimen Type,Total Processed Subspecimens,Organization,Investigator,Grant Number,Project,R24 Name (CV),R24 link,Comments,Metadata Submission,Age,Sex,QC,Download Link,Visualization Link,Soma_X(CCFv3_1𝜇𝑚),Soma_Y(CCFv3_1𝜇𝑚),Soma_Z(CCFv3_1𝜇𝑚)
947286448,486152,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,61 Days,Female,Automated Neuron Morphology ,,,9359.466841,1593.375498,8644.831669
947139142,486152,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp6a,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,61 Days,Female,Manual Neuron Morphology ,,,9178.611211,1922.590824,8765.59974
947162577,486152,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,61 Days,Female,Automated Neuron Morphology ,,,9298.758651,1357.687748,3241.356773
948321114,487121,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISli5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9317.194363,2344.714243,9371.163823
948344824,487121,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9548.507106,1588.124351,8478.12649
948360577,487121,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9604.094995,1406.304557,8289.802313
948338231,487121,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,8984.516831,1145.873286,7980.728851
948277237,487121,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9513.344183,1274.001245,3338.462464
948302732,487121,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Manual Neuron Morphology ,,,9447.958672,1487.867614,2996.293617
948318130,487121,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Manual Neuron Morphology ,,,9390.422054,1676.061412,2841.795187
